Taxonomy	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
Clostridiales	0.000586226232349493	0.00182239893969516	0.00095580363970026	0.003670285976449	0.000662690523525514	0.000547994086761482	0.00158026201763776	0.000981291736758934	0.00629555997349238	0.0068562981087832	0.000535250038232146	0.00428200030585717	0.00194983942498853	0.0018351429882245	0.000509761941173472	0.0616684508334608	0.000254880970586736	0.00103226793087628	0.000547994086761482	0.0025615537543967	0.0772799102818983	0.0999643166641179	0.00451139317938523	0.00364479787939032	0.00853851251465566
Pasteurellales	0.000981291736758934	0.0268134781057246	0.000586226232349493	0.00493194678085334	0.00378498241321303	0.0057475658867309	0.0800071366671764	0.00438395269409186	0.0474715807717796	0.013317530713157	0.0199062038028241	0.0121960544425753	0.00138910128969771	0.00974919712494265	0.00127440485293368	0.00420553601468114	0.00957078044553194	0.0139419890910945	0.00435846459703319	0.00095580363970026	0.0101570066778814	0.00627007187643371	0.0039124228985064	0.000382321455880104	0.000739154814701534
Verrucomicrobiales	0.000420553601468114	0.000216648824998726	2.54880970586736e-05	1.27440485293368e-05	0.0107432329102309	0	2.54880970586736e-05	3.82321455880104e-05	0.000254880970586736	0.000140184533822705	5.09761941173472e-05	0.000101952388234694	7.64642911760208e-05	0.0456619258806138	8.92083397053576e-05	0	7.64642911760208e-05	5.09761941173472e-05	6.3720242646684e-05	3.82321455880104e-05	0	0.000267625019116073	0	0	0.000382321455880104
Burkholderiales	0.0111000662690524	0.000879339348524239	0.00149105367793241	0.000828363154406892	0.00156751796910843	0.00170770250293113	0.00095580363970026	0.0426798185247489	0.0114186674822858	0.000828363154406892	0.000726410766172198	0.00163123821175511	0.001210684610287	0.00239588112351532	0.00117245246469899	0.0011087322220523	0.000764642911760208	0.00182239893969516	0.0017331905999898	0.00384870265585971	0.000700922669113524	0.00295661925880614	0.000624458377937503	0.00091757149411225	0.00189886323087118
Coriobacteriales	0.00836009583524494	0.00369577407350767	0.00384870265585971	0.000815619105877555	0.0015930060661671	0.00216648824998726	0.00200081561910588	0.00642300045878575	0.0040526074323291	0.00178416679410715	0.0355813834939083	0.00247234541469134	0.00909925064994647	0.00365754192791966	0.00531426823673345	0.00951980425141459	0.000879339348524239	0.0212953050925218	0.00184788703675384	0.000688178620584187	0.00395065504409441	0.001210684610287	0.00196258347351787	0.000662690523525514	0.00335168476321558
Monoglobales	0.00670336952643116	0.00136361319263904	0.00174593464851914	0.0055054289646735	0.000853851251465566	0.000140184533822705	0.000127440485293368	5.09761941173472e-05	0	0.00901004231024112	0.000165672630881378	0.000165672630881378	0.000624458377937503	0.00149105367793241	0.000382321455880104	6.3720242646684e-05	5.09761941173472e-05	0	6.3720242646684e-05	0.000509761941173472	0.000420553601468114	0.0276163531630728	0.000586226232349493	0.00298210735586481	0.00155477392057909
Spirochaetales	0.000242136922057399	0	0	3.82321455880104e-05	0	0	0	0.000152928582352042	6.3720242646684e-05	7.64642911760208e-05	0.000101952388234694	5.09761941173472e-05	0.0205306621807616	0.000191160727940052	5.09761941173472e-05	0.000420553601468114	0.000127440485293368	0.000191160727940052	0.000101952388234694	0	0	2.54880970586736e-05	3.82321455880104e-05	0	0.000904827445582913
Fusobacteriales	0	5.09761941173472e-05	0	0	0	2.54880970586736e-05	0	0	0.000152928582352042	0	0	0.000407809552938778	0	0.000662690523525514	2.54880970586736e-05	0	5.09761941173472e-05	0.00132538104705103	0	7.64642911760208e-05	8.92083397053576e-05	0.000114696436764031	0.000254880970586736	0.0187974715807718	0.00028036906764541
Pseudomonadales	3.82321455880104e-05	1.27440485293368e-05	0.000560738135290819	2.54880970586736e-05	5.09761941173472e-05	0.000101952388234694	1.27440485293368e-05	0.0160575011469644	0.000395065504409441	0.00031860121323342	0.000191160727940052	0.000178416679410715	0	0.000930315542641586	0.000484273844114798	0.000509761941173472	0.000560738135290819	0.00122342865881633	0.000497017892644135	0.00522505989702809	0.000751898863230871	0.000305857164704083	0.000420553601468114	0.000229392873528062	0.000420553601468114
Christensenellales	0.000497017892644135	0.00115970841616965	0.00196258347351787	1.27440485293368e-05	0.000815619105877555	8.92083397053576e-05	7.64642911760208e-05	0.00129989294999235	0.000267625019116073	0.00059897028087883	0.000293113116174746	0.000114696436764031	0.00128714890146302	0.00983840546464801	0.000943059591170923	0.000305857164704083	0.00035683335882143	0.000853851251465566	0.000369577407350767	0.000509761941173472	0.000114696436764031	0.00327522047203956	0.000497017892644135	5.09761941173472e-05	0.000573482183820156
Gastranaerophilales	0.000165672630881378	3.82321455880104e-05	0.000203904776469389	7.64642911760208e-05	0.00885711372788908	7.64642911760208e-05	0.000178416679410715	0.000127440485293368	5.09761941173472e-05	7.64642911760208e-05	0	2.54880970586736e-05	1.27440485293368e-05	0.000165672630881378	0	0	0.000140184533822705	3.82321455880104e-05	0.000739154814701534	0.000802875057348218	0	0.000127440485293368	8.92083397053576e-05	0.000331345261762757	0.000165672630881378
Rhodospirillales	0	2.54880970586736e-05	0	0	0.000191160727940052	0	0	0	0	0	0.00482999439261865	0	0	0	8.92083397053576e-05	0	0	0	0	0	0	0	0.00848753632053831	0	0
