Taxonomy	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
Pasteurellaceae	0.000981291736758934	0.0268134781057246	0.000586226232349493	0.00493194678085334	0.00378498241321303	0.0057475658867309	0.0800071366671764	0.00438395269409186	0.0474715807717796	0.013317530713157	0.0199062038028241	0.0121960544425753	0.00138910128969771	0.00974919712494265	0.00127440485293368	0.00420553601468114	0.00957078044553194	0.0139419890910945	0.00435846459703319	0.00095580363970026	0.0101570066778814	0.00627007187643371	0.0039124228985064	0.000382321455880104	0.000739154814701534
Eubacterium_coprostanoligenes_group	0.0103226793087628	0.0285084365601264	0.0240862517204465	0.0428837233012183	0.0240480195748585	0.00063720242646684	0.00186063108528317	0.0668297904878422	0.00698373859407657	0.0124891675587501	0.00335168476321558	0.00368303002497833	0.0295407044910027	0.0242391803027986	0.0575648672070143	0.00563286944996687	0.00296936330733547	0.00242136922057399	0.0350206453586175	0.0279476984248356	0.00108324412499363	0.0473696283835449	0.00472804200438395	0.0142605903043279	0.0168221440587246
Butyricicoccaceae	0.00211551205586991	0.00327522047203956	0.0465157771320793	0.00211551205586991	0.00144007748381506	0.00113422031911098	0.00268899423969006	0.00126166080440434	0.00610439924555233	0.00886985777641841	0.00209002395881124	0.00105775602793495	0.00312229188968752	0.00531426823673344	0.00573482183820156	0.00257429780292603	0.000879339348524239	0.0203012693072335	0.00124891675587501	0.000739154814701534	0.00228118468675129	0.0116990365499312	0.00108324412499363	0.00258704185145537	0.0054034765764388
Akkermansiaceae	0.000420553601468114	0.000216648824998726	2.54880970586736e-05	1.27440485293368e-05	0.0107432329102309	0	2.54880970586736e-05	3.82321455880104e-05	0.000254880970586736	0.000140184533822705	5.09761941173472e-05	0.000101952388234694	7.64642911760208e-05	0.0456619258806138	8.92083397053576e-05	0	7.64642911760208e-05	5.09761941173472e-05	6.3720242646684e-05	3.82321455880104e-05	0	0.000267625019116073	0	0	0.000382321455880104
Tannerellaceae	0.0339883774277412	0.00792679818524749	0.0114441555793444	0.0388311158688892	0.0114186674822858	0.00186063108528317	0.00169495845440179	0.00511036346026406	0.00258704185145537	0.00225569658969261	0.00118519651322832	0.00118519651322832	0.00267625019116073	0.0242519243513279	0.00421828006321048	0.000509761941173472	0.00156751796910843	0.0116480603558138	0.0018351429882245	0.00174593464851914	0.000242136922057399	0.00642300045878575	0.00137635724116837	0.00499566702350003	0.0066141611867258
Eggerthellaceae	0.000739154814701534	0.00182239893969516	0.00215374420145792	0.000216648824998726	0.00067543457205485	0.000433297649997451	0.000165672630881378	0.000764642911760208	0.00117245246469899	0.000879339348524239	0.0327139725748076	0.000254880970586736	0.000943059591170923	0.00124891675587501	0.00201355966763521	0.00652495284702044	0.000369577407350767	0.00559463730437886	0.000586226232349493	0.000254880970586736	0.000815619105877555	0.000471529795585462	0.000879339348524239	7.64642911760208e-05	0.000662690523525514
Streptococcaceae	0.00067543457205485	0.0284574603660091	0.000458785747056125	0.00099403578528827	0.00160575011469644	0.0273742162410154	0.00104501197940562	0.001210684610287	0.0110363460264057	0.00407809552938778	0.00428200030585716	0.00247234541469134	0.00210276800734057	0.0100168221440587	0.00131263699852169	0.00177142274557782	0.00553091706173217	0.0109853698322883	0.00194983942498853	0.00215374420145792	0.012183310394046	0.00457511342203191	0.00122342865881633	0.00746801243819137	0.00146556558087373
Leuconostocaceae	0.000458785747056125	0.000229392873528062	0.00028036906764541	0.000305857164704083	0.000981291736758934	0.000369577407350767	0.028228067492481	0.000331345261762757	0.000382321455880104	0.00031860121323342	0.000395065504409441	0.000458785747056125	0.000305857164704083	0.000751898863230871	0.000344089310292094	0	0.00308405974409951	0.00137635724116837	0.00257429780292603	0.000892083397053576	0.00028036906764541	0.000203904776469389	0.000127440485293368	3.82321455880104e-05	0.000114696436764031
Monoglobaceae	0.00670336952643116	0.00136361319263904	0.00174593464851914	0.0055054289646735	0.000853851251465566	0.000140184533822705	0.000127440485293368	5.09761941173472e-05	0	0.00901004231024112	0.000165672630881378	0.000165672630881378	0.000624458377937503	0.00149105367793241	0.000382321455880104	6.3720242646684e-05	5.09761941173472e-05	0	6.3720242646684e-05	0.000509761941173472	0.000420553601468114	0.0276163531630728	0.000586226232349493	0.00298210735586481	0.00155477392057909
Enterococcaceae	0	0	0	3.82321455880104e-05	0.00248508946322068	2.54880970586736e-05	0	0.00063720242646684	0.000930315542641586	0.000624458377937503	0.000790131008818882	0.00104501197940562	0.000649946474996177	0.00101952388234694	0.000866595299994902	0	0.023308864760157	0.00109598817352296	0.000509761941173472	0	0	0	0	0	0
Alcaligenaceae	0	0	0	0	0	0.00131263699852169	0	0.0207090788601723	0.000203904776469389	0.000101952388234694	0.000152928582352042	0.000140184533822705	0.000152928582352042	0.00028036906764541	0.000216648824998726	0	0.000101952388234694	0.000242136922057399	0.000229392873528062	0.000586226232349493	0	0	0	0	0
