	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
AEO01016	0.5158397275673519	0.5806299583999873	0.5803000742543359	0.6723781533752501	0.6377601778212713	0.5704299645927964	0.6541305339998553	0.5754840029149181	0.5253124493092906	0.5111755484420416	0	0.5108931677161596	0.5120713992472662	0.5952281448012109	0.4186611604133115	0.7365256793212681	0.5686823399197511	0.5187141331897225	0.4612048121219843	0.5905699557073528	0.6327065021432178	0.6287092186231261	0.5562297184726427	0.6250278429405616	0.6078262819897974
AR001017	0.6023617271649601	0.6074909595978586	0.6470083586130532	0.7168743164701636	0.6601829861016476	0.6384009076901195	0.6704841900772045	0.6368280774946947	0.4950354456741643	0.5868236350993702	0.5108931677161596	0	0.6280477174953391	0.6243266046015821	0.5422374241673961	0.7588882208659624	0.6036926329814407	0.5695800179896232	0.5780692863304479	0.6631177026125714	0.6366517465675424	0.6404623704452218	0.6328427848602365	0.6220645863002424	0.6322649827881813
EMS01018	0.4702581362537309	0.5981684410121292	0.5780870620853135	0.6605001539668084	0.6438602737388154	0.5962493480664743	0.7031363301302435	0.6341106909231906	0.6339106202580373	0.4761569833070078	0.5120713992472662	0.6280477174953391	0	0.6072124647956372	0.4715560321492799	0.8158556378599486	0.6207571297846789	0.6393580810228949	0.4199755808851278	0.5352023939774618	0.6988655352457349	0.5480215531629029	0.6250873596362155	0.6639434364339398	0.5537395590563794
APA01019	0.6415429519017157	0.6243278716175839	0.6157879125714149	0.6531907208582844	0.6582093040748728	0.7012858447020878	0.6334744145215977	0.5861469439398086	0.5521403348390589	0.5798739429323557	0.5952281448012109	0.6243266046015821	0.6072124647956372	0	0.5084990807955845	0.6947886632794151	0.5618988668895317	0.5521170078101969	0.597149191849547	0.6578310836053507	0.6420267771988082	0.6300081372837755	0.5730409620133161	0.6522226732516293	0.6332603027368948
MRK01020	0.4903279639856495	0.5884214661525606	0.5055454269089666	0.593434792644042	0.5939190167529549	0.581798065203623	0.6217030603964866	0.493285883360599	0.4712234826565929	0.4981828762147381	0.4186611604133115	0.5422374241673961	0.4715560321492799	0.5084990807955845	0	0.7537750454569013	0.4946342364005209	0.5477417975515341	0.4577319159918659	0.5758145808777608	0.5637624604576215	0.5823505552096654	0.4589541749652586	0.6057879150739014	0.5150744331971806
SSM01021	0.7818829439311947	0.8129840153426248	0.7635261347097985	0.8169555095394239	0.8084085702089471	0.8157898273699599	0.7441767698580882	0.7689293310083877	0.7361536882567468	0.7829213822531816	0.7365256793212681	0.7588882208659624	0.8158556378599486	0.6947886632794151	0.7537750454569013	0	0.7605242272082321	0.7301474313226541	0.7637718364812474	0.8054202499296276	0.8022625651315148	0.8059377419356059	0.7829847111447237	0.7777795235487804	0.8056537142306506
TSY01022	0.6027081902525798	0.63476916345067	0.6202597379926013	0.6095626942769303	0.4959613555316874	0.6387717264254441	0.6501838837454071	0.5674264768108462	0.6071306780361778	0.612782695789272	0.5686823399197511	0.6036926329814407	0.6207571297846789	0.5618988668895317	0.4946342364005209	0.7605242272082321	0	0.6285805974254336	0.6023770180202442	0.5670794991412833	0.5229954362184537	0.5774363288126293	0.4752306642735917	0.5638846890260826	0.5482393383170299
DBM01024	0.6191615953085948	0.649187026024462	0.6410070785368208	0.723120093377822	0.69202580529803	0.6287231636484523	0.6963454615545612	0.608764461406163	0.5648271175528844	0.5844068139986083	0.5187141331897225	0.5695800179896232	0.6393580810228949	0.5521170078101969	0.5477417975515341	0.7301474313226541	0.6285805974254336	0	0.5832266906508909	0.6684787874229222	0.6705445413476898	0.6665351023237719	0.6522535339697403	0.6660279358208274	0.6783213213514147
VHW01025	0.4512301445114773	0.5633870012701653	0.5256931424388125	0.6447534699982772	0.6316300718072735	0.5266087535798512	0.6505792472930347	0.5896550839594265	0.5804115256460732	0.4746922247375972	0.4612048121219843	0.5780692863304479	0.4199755808851278	0.597149191849547	0.4577319159918659	0.7637718364812474	0.6023770180202442	0.5832266906508909	0	0.569523967824485	0.6709018351350702	0.5617109201308401	0.5995206665922125	0.6414635616832548	0.5583715501524333
SMG01026	0.6345992851714017	0.6531490322645164	0.6684702663194719	0.6773592745251652	0.6324178207036301	0.6702828366478041	0.7637840043674362	0.6135838519017967	0.6564175992347073	0.6246519706660512	0.5905699557073528	0.6631177026125714	0.5352023939774618	0.6578310836053507	0.5758145808777608	0.8054202499296276	0.5670794991412833	0.6684787874229222	0.569523967824485	0	0.5319777879882065	0.5012893155475953	0.4620404876489695	0.5001266314871061	0.5006139336148132
KSS01027	0.6866649640585023	0.6982922368641143	0.695644366854006	0.6226806716159365	0.6111347550751692	0.6745286033340454	0.6902429085904431	0.6613451734188349	0.6641939001110179	0.6844777453140808	0.6327065021432178	0.6366517465675424	0.6988655352457349	0.6420267771988082	0.5637624604576215	0.8022625651315148	0.5229954362184537	0.6705445413476898	0.6709018351350702	0.5319777879882065	0	0.5568240772217953	0.4470991412790329	0.5301943316955025	0.522272216307219
KRL01028	0.5762049808259658	0.5883350255336224	0.6016800359468573	0.6141658813794647	0.5858449589989877	0.6264437927843582	0.7070239547647967	0.6512660304827699	0.6647719253135889	0.5563915847412687	0.6287092186231261	0.6404623704452218	0.5480215531629029	0.6300081372837755	0.5823505552096654	0.8059377419356059	0.5774363288126293	0.6665351023237719	0.5617109201308401	0.5012893155475953	0.5568240772217953	0	0.4864767918685531	0.5089980357126779	0.4163622963728267
PBB01029	0.6268195796964197	0.6277947011806535	0.606309116066194	0.533267234654479	0.5365951435880472	0.6807083083686216	0.638091910039654	0.5728671273135758	0.5890044982026312	0.6141505705375301	0.5562297184726427	0.6328427848602365	0.6250873596362155	0.5730409620133161	0.4589541749652586	0.7829847111447237	0.4752306642735917	0.6522535339697403	0.5995206665922125	0.4620404876489695	0.4470991412790329	0.4864767918685531	0	0.4891115823769143	0.3892751842128619
DLD01030	0.6476275398584999	0.6500052632694007	0.6857749199325214	0.6066819739471893	0.624567232365296	0.6736202453395357	0.7109679036383703	0.6573753233362318	0.6690871363639337	0.5902085537524592	0.6250278429405616	0.6220645863002424	0.6639434364339398	0.6522226732516293	0.6057879150739014	0.7777795235487804	0.5638846890260826	0.6660279358208274	0.6414635616832548	0.5001266314871061	0.5301943316955025	0.5089980357126779	0.4891115823769143	0	0.4396312492073857
PDD01031	0.5702887454628787	0.6179715972642225	0.6031770076645643	0.5571311846343674	0.5621897668024272	0.6522764957260708	0.6650184789214058	0.5960895992927182	0.6174005824734475	0.5739921895518386	0.6078262819897974	0.6322649827881813	0.5537395590563794	0.6332603027368948	0.5150744331971806	0.8056537142306506	0.5482393383170299	0.6783213213514147	0.5583715501524333	0.5006139336148132	0.522272216307219	0.4163622963728267	0.3892751842128619	0.4396312492073857	0
