#OTU_num	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031	Taxonomy
ASV36	165.0	923.0	1652.0	62.0	330.0	17.0	113.0	317.0	110.0	290.0	479.0	90.0	833.0	3020.0	1098.0	140.0	265.0	98.0	2008.0	2685.0	64.0	1456.0	761.0	60.0	346.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__
ASV37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	66.0	323.0	186.0	16169.0	161.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV38	76.0	1839.0	0.0	490.0	236.0	246.0	3691.0	348.0	3457.0	229.0	1725.0	1367.0	36.0	265.0	87.0	145.0	359.0	368.0	235.0	82.0	163.0	582.0	343.0	38.0	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus
ASV39	0.0	0.0	0.0	181.0	333.0	150.0	191.0	256.0	128.0	87.0	175.0	69.0	0.0	100.0	123.0	0.0	6374.0	191.0	113.0	0.0	0.0	0.0	7887.0	48.0	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella
ASV40	48.0	22.0	17.0	30.0	44.0	3450.0	16.0	156.0	198.0	65.0	93.0	11075.0	122.0	113.0	91.0	0.0	43.0	328.0	87.0	0.0	4.0	0.0	0.0	218.0	6.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri
ASV41	5751.0	54.0	131.0	110.0	1032.0	1121.0	600.0	3431.0	0.0	61.0	0.0	0.0	696.0	71.0	65.0	0.0	105.0	86.0	1098.0	1200.0	0.0	160.0	0.0	0.0	327.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
ASV42	228.0	11449.0	130.0	121.0	638.0	99.0	165.0	0.0	0.0	62.0	0.0	0.0	0.0	571.0	178.0	734.0	0.0	0.0	354.0	319.0	0.0	888.0	0.0	44.0	81.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella
ASV43	952.0	395.0	1030.0	0.0	362.0	226.0	70.0	1559.0	819.0	226.0	54.0	1324.0	175.0	1043.0	214.0	51.0	129.0	5602.0	223.0	361.0	287.0	84.0	0.0	279.0	295.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV44	366.0	62.0	64.0	18.0	31.0	76.0	0.0	302.0	264.0	144.0	69.0	34.0	125.0	176.0	334.0	3109.0	123.0	205.0	84.0	201.0	7040.0	1737.0	278.0	203.0	183.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__
ASV45	999.0	253.0	275.0	1395.0	70.0	204.0	985.0	112.0	290.0	271.0	3048.0	3089.0	107.0	200.0	61.0	11.0	19.0	298.0	71.0	17.0	433.0	33.0	116.0	83.0	436.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum
ASV46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	490.0	0.0	65.0	0.0	234.0	90.0	0.0	0.0	0.0	0.0	0.0	2091.0	2007.0	0.0	553.0	660.0	5306.0	1264.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri
ASV47	813.0	753.0	230.0	1415.0	204.0	141.0	56.0	500.0	679.0	220.0	1094.0	642.0	421.0	343.0	417.0	190.0	124.0	1739.0	226.0	274.0	871.0	81.0	140.0	826.0	326.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
ASV48	0.0	88.0	0.0	0.0	0.0	0.0	0.0	53.0	44.0	123.0	32.0	39.0	89.0	11979.0	76.0	0.0	45.0	62.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__
ASV49	1597.0	847.0	312.0	96.0	304.0	45.0	219.0	425.0	125.0	510.0	150.0	77.0	609.0	432.0	406.0	0.0	570.0	113.0	1911.0	2556.0	85.0	374.0	202.0	0.0	402.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group
