# Constructed from biom file
#OTU ID	AEO01016	APA01019	AR001017	DBM01024	DLD01030	EMS01018	KRL01028	KSS01027	LPK01006	MML01014	MRK01020	MSY01012	PBB01029	PDD01031	PRK01002	RRG01015	RRM01008	RSM01009	SMG01004	SMG01005	SMG01026	SSM01021	TSY01022	VHW01025	YRB01013
1a8c6fece7040cdd008cb14a3b9ff098	180.0	183.0	36125.0	261.0	622.0	174.0	0.0	0.0	0.0	269.0	195.0	0.0	0.0	0.0	0.0	136.0	0.0	414.0	0.0	0.0	0.0	0.0	102.0	157.0	164.0
f83b1195dba1f41c5981ef6ac1d5424d	169.0	1228.0	152.0	267.0	0.0	1346.0	917.0	113.0	345.0	4610.0	1298.0	927.0	1725.0	498.0	3230.0	261.0	3544.0	2935.0	2188.0	213.0	3505.0	1043.0	1213.0	3656.0	2368.0
9e428cab604874258574343749d9032c	102.0	390.0	227.0	4401.0	1540.0	394.0	295.0	30.0	2337.0	558.0	204.0	47.0	0.0	216.0	3442.0	19826.0	195.0	233.0	34.0	69.0	38.0	0.0	157.0	218.0	206.0
f5efaab4944dca6092be8006004d7397	126.0	33.0	21.0	777.0	40.0	0.0	98.0	6764.0	2834.0	268.0	0.0	7304.0	11719.0	77.0	44.0	22.0	202.0	81.0	40.0	37.0	73.0	0.0	280.0	207.0	224.0
7e27faca20639d80bc53e09e7de6a8c4	108.0	160.0	91.0	348.0	0.0	113.0	37.0	212.0	0.0	16700.0	368.0	28.0	0.0	0.0	0.0	2703.0	0.0	66.0	0.0	109.0	194.0	0.0	49.0	168.0	9026.0
ffa2d3d4e030a8f45850c379c0d196f5	9382.0	515.0	4314.0	314.0	141.0	594.0	1182.0	1387.0	2176.0	408.0	265.0	484.0	259.0	231.0	433.0	353.0	118.0	3137.0	48.0	1069.0	55.0	726.0	82.0	200.0	211.0
ec39293a8db6cdfc99fecc1decfa59d7	864.0	834.0	728.0	259.0	1166.0	1094.0	3744.0	1913.0	556.0	1550.0	1052.0	262.0	380.0	1066.0	1261.0	1528.0	1099.0	35.0	522.0	2971.0	897.0	549.0	1512.0	633.0	1049.0
6b670d2dc6b808c28f4871e987547009	0.0	172.0	365.0	61.0	14251.0	137.0	522.0	0.0	75.0	853.0	95.0	93.0	178.0	214.0	90.0	92.0	3347.0	1088.0	1642.0	44.0	1790.0	574.0	0.0	1408.0	96.0
1c42e1df478e2ff73b812be6621dc56b	0.0	1115.0	178.0	204.0	690.0	968.0	68.0	0.0	0.0	91.0	726.0	2985.0	0.0	1631.0	555.0	199.0	3616.0	139.0	74.0	153.0	3072.0	554.0	3715.0	3300.0	2001.0
76c3589bb8ed952c0e018f6402cc6c9c	703.0	315.0	342.0	259.0	1904.0	2980.0	556.0	44.0	265.0	274.0	8024.0	36.0	284.0	2566.0	590.0	1028.0	482.0	464.0	166.0	295.0	168.0	124.0	377.0	194.0	2544.0
a1d7db2eb229495c2c82b6983acf7e43	83.0	122.0	77.0	134.0	101.0	652.0	192.0	107.0	0.0	96.0	127.0	147.0	137.0	343.0	0.0	109.0	0.0	0.0	0.0	0.0	8836.0	0.0	102.0	12837.0	566.0
036ca3fa03f8d93a402ced6240a337fe	225.0	2996.0	152.0	118.0	271.0	1630.0	933.0	84.0	2109.0	356.0	1198.0	134.0	413.0	582.0	226.0	343.0	514.0	38.0	2114.0	1974.0	2942.0	251.0	265.0	2381.0	1433.0
4724b6bc3cbf6548b720d6fdc9bc76c3	0.0	1310.0	40.0	395.0	0.0	887.0	236.0	0.0	0.0	28.0	140.0	68.0	0.0	4744.0	184.0	100.0	340.0	8579.0	91.0	0.0	1170.0	645.0	2095.0	1277.0	189.0
