,0
ASV607,287.0
ASV609,286.0
ASV610,286.0
ASV611,284.0
ASV612,284.0
ASV613,284.0
ASV614,283.0
ASV615,281.0
ASV617,280.0
ASV616,280.0
ASV619,275.0
ASV618,275.0
ASV620,269.0
ASV621,269.0
ASV622,269.0
ASV623,266.0
ASV624,265.0
ASV625,264.0
ASV627,262.0
ASV626,262.0
ASV628,261.0
ASV629,259.0
ASV630,259.0
ASV631,258.0
ASV632,258.0
ASV633,257.0
ASV634,256.0
ASV635,256.0
ASV636,255.0
ASV637,253.0
ASV639,251.0
ASV638,251.0
ASV640,250.0
ASV641,250.0
ASV642,247.0
ASV643,244.0
ASV644,242.0
ASV645,241.0
ASV646,241.0
ASV647,240.0
ASV648,240.0
ASV649,239.0
ASV650,237.0
ASV652,236.0
ASV651,236.0
ASV653,233.0
ASV654,232.0
ASV655,232.0
ASV656,230.0
ASV657,229.0
ASV658,228.0
ASV660,227.0
ASV659,227.0
ASV661,226.0
ASV662,226.0
ASV663,226.0
ASV664,225.0
ASV665,225.0
ASV666,224.0
ASV667,222.0
ASV668,222.0
ASV669,221.0
ASV670,220.0
ASV671,220.0
ASV672,219.0
ASV673,219.0
ASV674,216.0
ASV675,215.0
ASV676,215.0
ASV677,214.0
ASV678,213.0
ASV679,213.0
ASV680,212.0
ASV681,211.0
ASV682,210.0
ASV683,209.0
ASV684,209.0
ASV685,209.0
ASV687,206.0
ASV686,206.0
ASV688,205.0
ASV689,205.0
ASV690,204.0
ASV691,203.0
ASV692,203.0
ASV693,203.0
ASV695,202.0
ASV696,202.0
ASV694,202.0
ASV697,200.0
ASV698,199.0
ASV699,199.0
ASV700,199.0
ASV701,198.0
ASV702,198.0
ASV703,197.0
ASV706,196.0
ASV707,196.0
ASV705,196.0
ASV704,196.0
ASV708,195.0
ASV709,191.0
ASV710,191.0
ASV711,191.0
ASV712,189.0
ASV713,189.0
ASV715,188.0
ASV716,188.0
ASV714,188.0
ASV719,185.0
ASV717,185.0
ASV718,185.0
ASV720,184.0
ASV721,183.0
ASV722,183.0
ASV723,181.0
ASV724,181.0
ASV725,181.0
ASV726,180.0
ASV728,179.0
ASV727,179.0
ASV729,177.0
ASV730,176.0
ASV731,176.0
ASV732,176.0
ASV733,174.0
ASV734,174.0
ASV736,172.0
ASV735,172.0
ASV737,171.0
ASV739,169.0
ASV738,169.0
ASV740,168.0
ASV741,168.0
ASV742,166.0
ASV743,166.0
ASV744,166.0
ASV748,165.0
ASV749,165.0
ASV746,165.0
ASV747,165.0
ASV745,165.0
ASV750,162.0
ASV751,162.0
ASV752,162.0
ASV753,161.0
ASV755,159.0
ASV754,159.0
ASV756,158.0
ASV757,158.0
ASV758,157.0
ASV759,157.0
ASV760,156.0
ASV761,156.0
ASV762,156.0
ASV763,156.0
ASV764,155.0
ASV767,154.0
ASV768,154.0
ASV765,154.0
ASV766,154.0
ASV769,153.0
ASV770,153.0
ASV771,153.0
ASV772,152.0
ASV776,151.0
ASV777,151.0
ASV773,151.0
ASV775,151.0
ASV774,151.0
ASV778,150.0
ASV779,150.0
ASV780,149.0
ASV781,149.0
ASV782,149.0
ASV783,149.0
ASV784,148.0
ASV785,148.0
